asistencia_clases,tareas_entregadas,participacion_clase,horas_estudio,promedio_evaluaciones,cursos_reprobados,actividades_extracurriculares,reportes_disciplinarios,riesgo,carnet,first_name,last_name,promedio_actual,gender
92.0,18,85.0,15.0,88.0,0,"['deportes', 'club_matematicas']",0,no riesgo,88-483-1466,Kearney,Gainsbury,15.9623,Male
75.0,12,60.0,8.0,65.0,2,['club_lectura'],1,riesgo,15-612-7538,Currey,Chilton,52.6045,Male
95.0,19,90.0,20.0,92.0,0,"['deportes', 'teatro', 'musica']",0,no riesgo,81-273-4338,Kelcie,Vayne,58.7542,Non-binary
88.0,17,78.0,12.0,82.0,0,['voluntariado'],0,no riesgo,53-300-8548,Herrick,Romanetti,,Male
70.0,15,65.0,10.0,72.0,1,[],2,riesgo,35-596-6889,Cherie,Dober,97.6683,Female
55.0,8,40.0,5.0,50.0,3,[],3,riesgo,95-224-4105,Guillema,Lelliott,46.7091,Female
98.0,20,95.0,25.0,96.0,0,"['robotica', 'deportes']",0,no riesgo,28-478-2858,Brewer,Tredget,77.6743,Male
82.0,14,75.0,11.0,68.0,2,['arte'],1,riesgo,95-095-9991,Zacharia,Couldwell,15.9855,Male
91.0,18,88.0,18.0,89.0,0,"['debate', 'periodico']",0,no riesgo,76-479-9786,Wandie,Jerok,25.8793,Female
68.0,13,55.0,7.0,62.0,2,[],2,riesgo,23-697-0580,Troy,Bogart,10.3332,Male
85.0,16,80.0,14.0,78.0,1,['club_ciencias'],0,no riesgo,36-242-5629,Nelly,Hagley,92.7652,Female
62.0,10,45.0,6.0,58.0,3,[],1,riesgo,10-902-6164,Puff,Gidman,51.4151,Male
96.0,19,92.0,22.0,94.0,0,"['musica', 'deportes', 'voluntariado']",0,no riesgo,34-328-8823,Marys,Dignon,33.5428,Female
72.0,11,50.0,8.0,65.0,2,['ajedrez'],2,riesgo,48-234-0685,Melly,Keasy,102.8618,Agender
89.0,17,85.0,16.0,87.0,1,['teatro'],0,no riesgo,,Matty,Telfer,23.4031,Male
65.0,12,60.0,9.0,64.0,2,[],1,riesgo,18-070-9116,Catrina,Archanbault,4.0917,Genderqueer
78.0,14,70.0,10.0,71.0,1,"['club_lectura', 'arte']",0,no riesgo,14-596-2807,Claudius,Lugton,69.8869,Male
87.0,16,82.0,15.0,84.0,0,['deportes'],0,no riesgo,33-969-8702,Sabine,Gleadhall,81.4272,Female
35.0,3,15.0,1.0,25.0,5,[],5,riesgo,67-340-8689,Bette,Venediktov,111.0792,Female
99.0,20,97.0,30.0,99.0,0,"['robotica', 'debate', 'musica', 'deportes']",0,no riesgo,12-447-0285,Gorden,Widdowson,33.3017,Male
84.0,15,79.0,13.0,80.0,0,['periodico'],0,no riesgo,28-504-6648,Barney,Suttle,52.43,Male
58.0,9,42.0,4.0,52.0,3,[],2,riesgo,68-669-4875,Xenia,Keel,106.5005,Female
86.0,16,83.0,14.0,81.0,1,['club_matematicas'],0,no riesgo,41-877-6889,Arturo,Beteriss,,Agender
81.0,13,72.0,12.0,76.0,2,"['arte', 'teatro']",1,riesgo,,Baillie,Glancey,93.6216,Male
93.0,19,91.0,21.0,93.0,0,"['deportes', 'voluntariado']",0,no riesgo,,Jilli,Ruggier,14.0545,Female
63.0,11,53.0,7.0,59.0,2,[],1,riesgo,22-368-9610,Gabriel,Gaule,,Female
79.0,14,73.0,11.0,74.0,1,['club_ciencias'],0,no riesgo,97-601-9692,Michell,Brosi,8.4097,Female
90.0,18,86.0,17.0,88.0,0,['musica'],0,no riesgo,88-352-1191,Corine,Fishley,113.1958,Female
50.0,7,35.0,3.0,45.0,4,[],3,riesgo,84-205-6024,Thorny,Clamo,108.4649,Male
94.0,19,93.0,23.0,95.0,0,"['robotica', 'deportes', 'debate']",0,no riesgo,11-896-4355,Nancey,Lupton,28.1944,Female
88.0,17,84.0,16.0,85.0,0,"['periodico', 'arte']",0,no riesgo,51-800-9049,Queenie,Claremont,68.5182,Genderfluid
69.0,12,61.0,8.0,63.0,2,[],2,riesgo,49-312-5760,Anette,Marnes,87.5979,Female
83.0,15,77.0,12.0,79.0,1,['club_lectura'],0,no riesgo,96-376-9344,Johnny,Bierling,,Male
92.0,18,89.0,19.0,90.0,0,"['deportes', 'musica']",0,no riesgo,59-914-8339,Renault,Keppie,15.9108,Male
54.0,8,38.0,4.0,48.0,3,[],2,riesgo,,Roseanna,Heine,26.5943,Female
95.0,20,94.0,24.0,96.0,0,"['voluntariado', 'teatro']",0,no riesgo,,Verina,Staite,30.755,Female
76.0,13,68.0,9.0,70.0,1,['ajedrez'],1,riesgo,23-416-7164,Shellysheldon,Tunbridge,65.2809,Male
85.0,16,81.0,14.0,82.0,0,"['club_matematicas', 'deportes']",0,no riesgo,69-028-8546,Cecilia,De Simoni,55.3784,Bigender
64.0,11,56.0,7.0,60.0,2,[],1,riesgo,92-565-1827,Kati,Mulvy,54.3278,Female
97.0,20,96.0,26.0,97.0,0,"['robotica', 'debate']",0,no riesgo,,Corrinne,Alenichev,89.0115,Female
80.0,14,74.0,13.0,77.0,2,['arte'],1,riesgo,24-780-5963,Abbe,Juszczak,81.9822,Female
82.0,15,78.0,12.0,83.0,0,['periodico'],0,no riesgo,86-254-6646,Philip,Baudic,91.0768,Male
67.0,12,59.0,8.0,61.0,2,[],2,riesgo,01-202-4610,Tabby,Radbourn,92.1764,Male
84.0,16,80.0,15.0,81.0,1,"['club_ciencias', 'musica']",0,no riesgo,94-941-8996,Johnny,Issakov,110.6342,Male
98.0,20,98.0,28.0,98.0,0,"['deportes', 'voluntariado', 'teatro']",0,no riesgo,27-098-9451,Jacqui,Case,61.1901,Female
60.0,10,48.0,5.0,55.0,3,[],2,riesgo,95-349-6736,Felita,Scampion,70.1002,Female
89.0,17,87.0,18.0,86.0,0,['debate'],0,no riesgo,62-864-7536,Eli,Clemmett,11.4438,Male
71.0,12,63.0,10.0,66.0,2,"['arte', 'club_lectura']",1,riesgo,89-960-0870,Irwinn,Kluss,110.6884,Male
77.0,14,71.0,11.0,73.0,1,['deportes'],0,no riesgo,59-552-5736,Eli,Week,103.8559,Male
99.0,20,99.0,32.0,99.0,0,"['robotica', 'musica', 'debate']",0,no riesgo,32-056-1839,Ophelia,Magee,10.0901,Female
91.0,18,90.0,20.0,91.0,0,"['periodico', 'arte']",0,no riesgo,70-432-8522,Renado,Hallas,74.5628,Male
66.0,11,57.0,7.0,62.0,2,[],1,riesgo,59-368-9958,Risa,O'Feeney,23.6134,Female
81.0,15,76.0,13.0,75.0,1,['club_matematicas'],0,no riesgo,98-496-1907,Jozef,Drinkhall,72.0129,Male
