asistencia_clases,tareas_entregadas,participacion_clase,horas_estudio,promedio_evaluaciones,cursos_reprobados,actividades_extracurriculares,reportes_disciplinarios,riesgo,carnet,first_name,last_name,promedio_actual,gender
78.9,12,62.1,14.3,44.4,0,['club_lectura'],1,riesgo,18-361-2931,Luis,Ramirez,94.3652,Polygender
73.9,15,81.8,7.2,80.8,1,[],0,no riesgo,36-196-8993,Angel,Sanchez,96.5891,Bigender
84.1,20,79.0,15.7,58.4,1,['ajedrez'],2,no riesgo,10-812-8297,Carlos,Castillo,78.0072,Agender
82.3,17,66.7,8.0,63.8,0,['ajedrez'],0,no riesgo,50-131-1365,Angel,Vargas,55.9635,Male
92.4,14,64.3,6.3,92.3,0,"['arte', 'robotica', 'club_ciencias']",0,no riesgo,77-327-8174,Luis,Torres,94.897,Agender
73.6,13,72.5,12.9,82.1,2,"['musica', 'robotica']",0,no riesgo,68-396-1352,Diego,Torres,64.7163,Female
87.3,10,78.3,9.6,79.6,1,"['club_lectura', 'teatro']",0,riesgo,52-838-9205,Valentina,Sanchez,71.2038,Agender
95.1,15,83.6,8.7,71.4,3,"['teatro', 'club_ciencias']",0,no riesgo,73-966-9278,Diego,Flores,85.678,Male
93.1,16,80.1,12.9,67.1,1,['periodico'],1,no riesgo,61-524-3834,Ana,Torres,82.1123,Genderfluid
91.8,12,87.0,8.5,76.4,0,[],0,riesgo,94-620-2768,Camila,Lopez,76.9363,Bigender
75.5,13,75.4,3.1,75.8,0,"['musica', 'periodico', 'deportes']",1,riesgo,49-820-7448,Daniela,Lopez,81.1083,Non-binary
81.8,16,100.0,8.4,50.2,2,"['voluntariado', 'robotica']",0,no riesgo,35-652-9983,Lucia,Sanchez,68.1418,Genderfluid
79.0,8,81.6,14.0,64.5,0,"['ajedrez', 'musica']",0,no riesgo,44-775-9978,Marco,Castillo,67.2862,Male
87.3,15,82.1,3.2,82.0,1,"['arte', 'voluntariado', 'club_lectura', 'robotica']",0,no riesgo,17-592-6975,Marco,Torres,67.007,Agender
85.0,10,70.4,7.3,85.0,2,"['voluntariado', 'arte']",2,riesgo,55-524-6670,Angel,Torres,63.7123,Genderfluid
85.4,13,91.0,8.6,80.2,1,[],1,no riesgo,13-923-4761,Daniela,Lopez,66.2705,Non-binary
77.1,14,77.9,10.4,76.1,1,['club_matematicas'],0,no riesgo,42-133-2154,Maria,Gonzalez,96.514,Polygender
93.1,20,70.2,14.1,65.3,0,['deportes'],0,no riesgo,45-355-5401,Maria,Flores,76.3042,Non-binary
100.0,13,58.9,15.6,65.0,3,"['musica', 'teatro', 'club_matematicas']",0,riesgo,42-640-3754,Daniela,Rodriguez,53.2133,Genderqueer
88.8,20,50.0,7.7,69.9,0,"['periodico', 'musica', 'club_ciencias', 'voluntariado']",1,riesgo,49-495-6625,Diego,Garcia,96.0608,Genderqueer
80.5,17,58.2,12.7,69.0,1,[],0,riesgo,75-314-8072,Mateo,Gonzalez,38.5414,Agender
78.3,11,71.8,15.5,55.8,0,['deportes'],0,riesgo,14-836-3625,Luis,Castillo,69.9517,Bigender
100.0,10,79.8,6.0,80.6,1,"['voluntariado', 'robotica', 'club_ciencias']",0,no riesgo,77-764-1502,Diego,Vargas,81.8484,Genderfluid
87.8,11,85.0,17.7,81.1,0,['club_ciencias'],0,no riesgo,17-855-5892,Jose,Garcia,73.937,Male
99.0,11,69.7,10.5,83.1,3,[],0,riesgo,19-417-5880,Juan,Lopez,66.1873,Bigender
89.9,11,74.0,8.5,77.0,1,"['ajedrez', 'teatro']",0,riesgo,81-999-1621,Marco,Garcia,69.1476,Polygender
76.2,13,94.5,10.1,63.7,0,[],1,riesgo,89-621-1613,Diego,Garcia,57.5474,Genderfluid
98.9,11,100.0,14.1,79.9,0,[],0,no riesgo,83-790-8093,Marco,Garcia,74.579,Polygender
83.3,20,81.2,15.2,81.2,0,"['club_matematicas', 'arte']",1,no riesgo,73-117-6330,Marco,Sanchez,55.8602,Genderqueer
79.1,20,71.2,18.1,57.6,0,['deportes'],1,no riesgo,51-930-3214,Ana,Sanchez,58.8785,Agender
88.2,14,75.1,9.2,69.9,0,"['teatro', 'club_matematicas', 'arte', 'musica']",0,no riesgo,97-647-8938,Camila,Torres,63.3666,Agender
86.6,14,69.6,6.6,65.3,1,"['club_matematicas', 'deportes']",0,riesgo,31-270-9818,Lucia,Rodriguez,61.9417,Genderfluid
57.2,17,78.9,10.1,66.4,0,"['ajedrez', 'voluntariado']",1,no riesgo,57-446-6575,Maria,Rodriguez,77.7261,Agender
93.5,15,56.5,7.8,79.4,3,['ajedrez'],0,riesgo,72-238-2708,Ana,Gonzalez,80.7218,Bigender
73.3,20,70.9,12.9,61.1,0,['club_matematicas'],0,no riesgo,28-948-3048,Ana,Martinez,75.7733,Bigender
100.0,12,78.3,3.8,76.1,2,[],0,riesgo,80-329-2339,Carlos,Perez,52.6719,Genderqueer
76.7,17,88.3,8.6,96.7,0,"['ajedrez', 'voluntariado']",0,no riesgo,68-383-2765,Camila,Gonzalez,37.863,Genderqueer
78.4,9,94.6,10.8,59.3,0,"['deportes', 'ajedrez']",0,no riesgo,21-523-2885,Mateo,Gonzalez,68.0337,Agender
80.7,20,88.4,14.2,70.8,1,"['robotica', 'ajedrez', 'arte', 'club_lectura']",0,no riesgo,31-797-4955,Jose,Castillo,70.2575,Female
73.4,20,71.0,11.9,61.8,1,[],1,riesgo,58-925-9895,Valentina,Rodriguez,44.7391,Genderqueer
95.5,19,85.4,6.6,64.1,0,['periodico'],0,no riesgo,36-767-6200,Angel,Gonzalez,58.6904,Male
77.9,11,77.8,12.3,50.0,1,['teatro'],1,riesgo,50-560-7410,Ana,Sanchez,59.0815,Female
71.3,9,71.5,5.9,79.2,1,"['club_matematicas', 'musica', 'periodico']",0,riesgo,37-903-9895,Mateo,Castillo,65.249,Polygender
83.9,18,70.0,12.3,53.1,0,"['club_ciencias', 'musica']",1,riesgo,79-312-6035,Lucia,Garcia,56.2234,Genderfluid
85.6,11,71.5,8.7,74.3,1,[],0,riesgo,45-191-8338,Maria,Vargas,44.2091,Genderfluid
100.0,15,77.0,4.2,80.3,1,"['robotica', 'arte']",1,no riesgo,15-435-4060,Ana,Flores,78.3411,Genderqueer
94.6,17,83.2,19.3,73.8,1,"['robotica', 'musica']",1,no riesgo,88-692-2508,Lucia,Garcia,82.0766,Male
82.1,13,83.2,8.2,50.5,0,['robotica'],0,riesgo,44-664-2161,Juan,Martinez,75.7407,Male
68.0,13,89.7,16.5,58.1,0,['club_ciencias'],0,riesgo,55-605-8681,Mateo,Lopez,36.5933,Female
82.8,20,64.6,11.8,82.2,1,"['voluntariado', 'musica']",0,no riesgo,95-277-3942,Camila,Lopez,85.4948,Non-binary
86.1,8,76.0,7.7,79.7,1,['musica'],1,riesgo,75-954-5808,Jose,Garcia,79.7297,Non-binary
83.2,20,84.4,6.9,58.6,2,"['voluntariado', 'deportes']",1,no riesgo,89-923-4365,Jose,Rodriguez,67.7727,Bigender
81.9,17,95.5,10.2,89.4,2,['voluntariado'],0,no riesgo,95-353-5138,Camila,Martinez,61.065,Polygender
70.4,12,79.2,9.7,55.8,2,['arte'],1,riesgo,79-549-9815,Luis,Gonzalez,62.2278,Bigender
94.2,11,86.0,5.9,100.0,2,"['musica', 'club_lectura', 'teatro']",0,no riesgo,92-526-1309,Angel,Castillo,53.9061,Genderfluid
91.6,14,88.9,6.7,66.0,0,['ajedrez'],1,riesgo,26-241-5245,Mateo,Rodriguez,84.2181,Bigender
92.3,5,61.6,7.5,70.0,1,['ajedrez'],0,riesgo,88-191-4826,Luis,Gonzalez,54.4123,Non-binary
83.2,16,46.2,3.7,57.0,0,"['voluntariado', 'musica', 'club_ciencias']",0,riesgo,66-802-4698,Lucia,Perez,52.1582,Polygender
73.3,18,69.8,15.6,89.3,0,"['club_ciencias', 'periodico', 'robotica']",0,no riesgo,53-673-5509,Daniela,Garcia,70.4765,Male
60.0,9,88.0,11.5,77.8,1,[],1,riesgo,75-760-7040,Jose,Torres,99.4544,Agender
83.2,12,76.6,8.7,70.4,1,[],0,riesgo,98-406-7088,Jose,Castillo,56.0969,Polygender
84.4,20,69.3,10.1,55.8,0,['ajedrez'],0,riesgo,25-720-9420,Marco,Sanchez,88.3558,Non-binary
86.1,16,93.0,8.5,81.7,0,"['club_lectura', 'teatro']",1,no riesgo,82-836-1854,Luis,Vargas,69.5227,Bigender
72.3,16,76.3,10.1,70.4,2,[],0,riesgo,54-493-9438,Mateo,Lopez,70.2693,Male
81.4,14,96.2,15.0,70.4,1,[],0,no riesgo,21-927-5180,Daniela,Martinez,55.2985,Genderqueer
85.3,5,75.0,20.3,65.9,0,['club_matematicas'],0,no riesgo,27-894-2343,Luis,Garcia,69.0026,Bigender
94.8,6,58.2,7.2,74.5,0,[],0,riesgo,65-506-3699,Valentina,Perez,58.5183,Polygender
91.1,5,81.0,11.2,46.3,1,"['club_lectura', 'ajedrez', 'periodico']",0,no riesgo,25-541-9749,Diego,Martinez,95.5028,Genderqueer
