asistencia_clases,tareas_entregadas,participacion_clase,horas_estudio,promedio_evaluaciones,cursos_reprobados,actividades_extracurriculares,reportes_disciplinarios,riesgo,carnet,first_name,last_name,promedio_actual,gender
84.4,4,94.7,1.0,61.9,0,['deportes'],0,riesgo,56-955-3770,Juan,Vargas,63.7486,Genderqueer
85.4,9,81.5,7.0,71.8,1,[],0,riesgo,37-721-1585,Marco,Vargas,100.0,Non-binary
83.4,16,63.1,8.3,69.2,0,['arte'],0,no riesgo,75-480-9915,Valentina,Ramirez,56.8284,Genderqueer
60.7,15,79.4,16.8,78.0,1,"['deportes', 'club_ciencias']",1,riesgo,50-489-7940,Valentina,Torres,100.0,Non-binary
100.0,15,82.3,8.9,63.7,1,['voluntariado'],0,riesgo,39-124-3895,Ana,Lopez,72.9272,Non-binary
78.7,17,77.6,0.7,67.0,1,['voluntariado'],0,riesgo,75-790-3979,Valentina,Ramirez,89.1757,Bigender
81.2,11,92.0,12.9,52.9,0,['voluntariado'],0,no riesgo,56-908-6796,Ana,Ramirez,86.9082,Non-binary
89.4,15,70.9,6.5,58.3,0,['arte'],0,no riesgo,69-770-9689,Lucia,Ramirez,54.6284,Genderqueer
88.9,18,82.7,2.5,74.8,2,"['periodico', 'voluntariado']",0,no riesgo,55-777-8449,Valentina,Ramirez,74.2269,Genderfluid
73.7,17,71.4,22.9,94.0,0,[],0,no riesgo,81-841-8480,Luis,Vargas,75.7912,Agender
94.1,10,66.6,8.8,50.2,1,['musica'],1,riesgo,31-997-5393,Camila,Ramirez,48.4083,Genderqueer
96.2,17,68.8,11.3,71.0,1,[],0,no riesgo,74-675-9482,Elena,Vargas,57.5975,Bigender
74.8,16,72.2,19.9,58.6,0,"['teatro', 'robotica']",0,no riesgo,56-800-2234,Camila,Perez,94.4859,Male
100.0,19,96.5,7.9,80.4,1,"['robotica', 'club_matematicas', 'deportes']",0,no riesgo,16-379-4712,Daniela,Martinez,38.7602,Non-binary
96.7,16,66.3,5.5,64.3,0,"['teatro', 'robotica', 'ajedrez']",1,no riesgo,17-533-1522,Angel,Perez,67.2217,Genderfluid
88.7,18,70.6,5.6,76.8,1,"['club_lectura', 'robotica']",0,no riesgo,20-217-2105,Angel,Gonzalez,40.2123,Male
