asistencia_clases,tareas_entregadas,participacion_clase,horas_estudio,promedio_evaluaciones,cursos_reprobados,actividades_extracurriculares,reportes_disciplinarios,riesgo,carnet,first_name,last_name,promedio_actual,gender
89.4,15,52.6,8.6,67.7,0,[],0,riesgo,79-233-7061,Valentina,Flores,96.8294,Polygender
94.4,9,70.8,10.3,52.5,0,"['club_ciencias', 'ajedrez']",0,riesgo,11-957-8687,Carlos,Torres,60.9803,Agender
87.4,9,66.4,13.1,70.1,4,"['robotica', 'periodico']",0,riesgo,80-587-7506,Daniela,Lopez,92.2922,Agender
67.7,13,70.6,0.9,75.1,0,['club_ciencias'],0,riesgo,76-499-1248,Daniela,Martinez,49.0635,Non-binary
70.7,14,64.5,17.0,60.9,2,"['ajedrez', 'deportes']",0,riesgo,13-943-5414,Luis,Flores,71.0101,Bigender
95.5,20,72.6,18.9,63.9,0,[],0,no riesgo,64-504-8284,Valentina,Lopez,41.2829,Genderfluid
87.3,15,78.6,19.1,76.3,0,"['club_matematicas', 'deportes', 'club_lectura']",2,no riesgo,43-788-8146,Camila,Vargas,50.016,Genderqueer
93.2,4,68.5,7.3,82.6,2,"['arte', 'voluntariado', 'club_ciencias']",0,riesgo,78-699-7677,Marco,Garcia,80.6521,Genderfluid
82.7,16,84.6,8.7,59.0,0,"['club_ciencias', 'deportes', 'teatro']",0,no riesgo,95-812-3672,Juan,Perez,47.8225,Female
77.6,14,75.6,12.8,68.0,0,['club_ciencias'],1,riesgo,83-373-5668,Maria,Martinez,71.8599,Polygender
92.2,11,80.8,14.3,77.8,1,['club_ciencias'],1,no riesgo,21-452-2091,Diego,Lopez,63.757,Male
84.2,16,67.2,6.3,70.0,0,[],2,riesgo,63-993-2948,Angel,Flores,74.3055,Male
87.7,9,63.5,16.7,43.7,0,['arte'],1,riesgo,52-664-5572,Elena,Garcia,74.2732,Male
93.4,17,64.7,15.4,57.3,1,['teatro'],1,riesgo,23-714-9774,Angel,Garcia,67.7648,Bigender
95.0,11,75.9,8.7,56.4,1,"['teatro', 'ajedrez']",0,riesgo,98-143-6567,Ana,Perez,67.8907,Non-binary
80.7,12,73.4,1.9,57.2,2,[],1,riesgo,58-485-8543,Mateo,Torres,60.2735,Bigender
75.4,9,78.2,13.2,65.3,0,"['club_ciencias', 'ajedrez']",0,no riesgo,23-735-9307,Carlos,Sanchez,39.5441,Agender
80.3,15,84.9,4.9,70.2,2,"['teatro', 'arte']",1,no riesgo,76-410-9985,Ana,Gonzalez,96.3111,Bigender
93.2,20,67.7,17.5,69.5,0,"['ajedrez', 'musica']",0,riesgo,88-703-3183,Angel,Vargas,75.8862,Genderfluid
80.2,14,67.2,18.2,70.0,1,"['periodico', 'musica', 'ajedrez', 'teatro']",0,no riesgo,12-703-1992,Daniela,Gonzalez,66.3792,Genderfluid
87.5,16,69.7,10.7,56.5,0,"['teatro', 'periodico']",0,riesgo,86-427-3906,Ana,Lopez,100.0,Genderfluid
100.0,19,100.0,18.4,70.3,1,['musica'],0,no riesgo,43-407-7179,Maria,Gonzalez,59.4229,Non-binary
78.5,20,82.5,9.7,87.8,1,['teatro'],1,no riesgo,93-923-5413,Lucia,Perez,60.4181,Non-binary
95.7,10,94.4,12.6,80.3,0,[],0,no riesgo,93-814-2589,Maria,Flores,52.6392,Genderfluid
99.2,14,72.1,11.7,92.7,1,"['musica', 'robotica', 'periodico']",0,no riesgo,31-181-6516,Juan,Vargas,37.9495,Agender
78.8,9,61.6,1.8,76.4,1,['ajedrez'],0,riesgo,38-905-2981,Angel,Torres,51.913,Agender
81.6,13,82.6,11.2,71.3,0,"['musica', 'ajedrez', 'club_lectura']",1,no riesgo,53-926-2401,Camila,Flores,53.9834,Genderfluid
87.9,6,74.7,2.6,96.2,2,"['ajedrez', 'club_lectura', 'arte', 'teatro']",0,no riesgo,44-575-6674,Daniela,Sanchez,35.9163,Genderqueer
89.7,20,87.0,0.0,76.3,0,['arte'],0,no riesgo,14-523-3555,Lucia,Gonzalez,42.2347,Polygender
77.2,20,66.3,10.0,78.6,3,"['ajedrez', 'voluntariado']",0,no riesgo,38-133-8482,Mateo,Vargas,71.5611,Genderqueer
87.3,17,65.6,8.5,72.4,3,['voluntariado'],0,riesgo,39-982-2115,Mateo,Flores,70.8837,Genderqueer
76.3,13,78.1,8.8,77.9,1,"['club_matematicas', 'robotica', 'deportes']",0,riesgo,98-624-4251,Valentina,Sanchez,92.5134,Male
90.6,16,78.3,0.8,80.3,0,[],0,riesgo,25-275-9244,Carlos,Garcia,51.3194,Male
72.1,9,70.6,11.9,64.5,0,"['voluntariado', 'club_ciencias', 'arte']",0,riesgo,88-216-6592,Jose,Rodriguez,71.4489,Polygender
96.0,20,83.0,10.4,60.4,2,['deportes'],1,riesgo,35-225-9759,Valentina,Martinez,71.2745,Non-binary
86.0,8,64.6,12.7,84.0,2,['robotica'],1,no riesgo,26-943-1122,Luis,Vargas,74.4441,Bigender
84.7,5,72.0,6.4,53.9,5,"['deportes', 'teatro', 'robotica']",0,riesgo,77-632-7930,Angel,Ramirez,88.3748,Genderfluid
84.8,14,84.9,4.7,66.3,2,"['deportes', 'club_ciencias']",0,riesgo,15-227-1816,Maria,Ramirez,62.9655,Male
90.2,14,89.5,11.3,68.6,0,"['club_matematicas', 'voluntariado', 'ajedrez']",1,no riesgo,30-422-2175,Ana,Sanchez,64.7158,Bigender
79.4,11,95.0,5.8,74.4,0,[],0,no riesgo,56-371-4130,Ana,Sanchez,73.6575,Female
94.0,11,75.1,5.9,62.6,0,"['club_lectura', 'voluntariado', 'deportes', 'arte']",0,no riesgo,82-282-1703,Ana,Ramirez,92.7804,Bigender
